county_name,state_name,year,area_deprivation_index_percent,Full_Name,EstimateGiniIndex_2020
Autauga County,Alabama,2020,29,"Autauga County, Alabama",0.4602
Baldwin County,Alabama,2020,16,"Baldwin County, Alabama",0.4609
Barbour County,Alabama,2020,96,"Barbour County, Alabama",0.4731
Bibb County,Alabama,2020,69,"Bibb County, Alabama",0.4294
Blount County,Alabama,2020,61,"Blount County, Alabama",0.4331
Bullock County,Alabama,2020,98,"Bullock County, Alabama",0.5174
Butler County,Alabama,2020,86,"Butler County, Alabama",0.4708
Calhoun County,Alabama,2020,71,"Calhoun County, Alabama",0.4676
Chambers County,Alabama,2020,78,"Chambers County, Alabama",0.4568
Cherokee County,Alabama,2020,71,"Cherokee County, Alabama",0.4539
Chilton County,Alabama,2020,78,"Chilton County, Alabama",0.4845
Choctaw County,Alabama,2020,90,"Choctaw County, Alabama",0.4809
Clarke County,Alabama,2020,94,"Clarke County, Alabama",0.5185
Clay County,Alabama,2020,89,"Clay County, Alabama",0.4684
Cleburne County,Alabama,2020,75,"Cleburne County, Alabama",0.4622
Coffee County,Alabama,2020,53,"Coffee County, Alabama",0.4427
Colbert County,Alabama,2020,61,"Colbert County, Alabama",0.4496
Conecuh County,Alabama,2020,92,"Conecuh County, Alabama",0.4354
Coosa County,Alabama,2020,70,"Coosa County, Alabama",0.4646
Covington County,Alabama,2020,76,"Covington County, Alabama",0.4553
Crenshaw County,Alabama,2020,77,"Crenshaw County, Alabama",0.504
Cullman County,Alabama,2020,64,"Cullman County, Alabama",0.4548
Dale County,Alabama,2020,70,"Dale County, Alabama",0.45
Dallas County,Alabama,2020,97,"Dallas County, Alabama",0.4885
DeKalb County,Alabama,2020,91,"DeKalb County, Alabama",0.4748
Elmore County,Alabama,2020,30,"Elmore County, Alabama",0.4359
Escambia County,Alabama,2020,91,"Escambia County, Alabama",0.4823
Etowah County,Alabama,2020,66,"Etowah County, Alabama",0.4483
Fayette County,Alabama,2020,81,"Fayette County, Alabama",0.4635
Franklin County,Alabama,2020,90,"Franklin County, Alabama",0.4224
Geneva County,Alabama,2020,87,"Geneva County, Alabama",0.4413
Greene County,Alabama,2020,99,"Greene County, Alabama",0.5041
Hale County,Alabama,2020,93,"Hale County, Alabama",0.5071
Henry County,Alabama,2020,62,"Henry County, Alabama",0.435
Houston County,Alabama,2020,62,"Houston County, Alabama",0.4808
Jackson County,Alabama,2020,81,"Jackson County, Alabama",0.4616
Jefferson County,Alabama,2020,44,"Jefferson County, Alabama",0.4996
Lamar County,Alabama,2020,84,"Lamar County, Alabama",0.4623
Lauderdale County,Alabama,2020,51,"Lauderdale County, Alabama",0.4672
Lawrence County,Alabama,2020,75,"Lawrence County, Alabama",0.4389
Lee County,Alabama,2020,49,"Lee County, Alabama",0.5081
Limestone County,Alabama,2020,44,"Limestone County, Alabama",0.4509
Lowndes County,Alabama,2020,97,"Lowndes County, Alabama",0.4999
Macon County,Alabama,2020,92,"Macon County, Alabama",0.5145
Madison County,Alabama,2020,17,"Madison County, Alabama",0.4673
Marengo County,Alabama,2020,85,"Marengo County, Alabama",0.5386
Marion County,Alabama,2020,82,"Marion County, Alabama",0.4596
Marshall County,Alabama,2020,78,"Marshall County, Alabama",0.4805
Mobile County,Alabama,2020,61,"Mobile County, Alabama",0.4765
Monroe County,Alabama,2020,97,"Monroe County, Alabama",0.5477
Montgomery County,Alabama,2020,67,"Montgomery County, Alabama",0.4929
Morgan County,Alabama,2020,60,"Morgan County, Alabama",0.4511
Perry County,Alabama,2020,99,"Perry County, Alabama",0.479
Pickens County,Alabama,2020,84,"Pickens County, Alabama",0.4997
Pike County,Alabama,2020,81,"Pike County, Alabama",0.5343
Randolph County,Alabama,2020,83,"Randolph County, Alabama",0.4733
Russell County,Alabama,2020,81,"Russell County, Alabama",0.454
St. Clair County,Alabama,2020,39,"St. Clair County, Alabama",0.4068
Shelby County,Alabama,2020,5,"Shelby County, Alabama",0.4344
Sumter County,Alabama,2020,95,"Sumter County, Alabama",0.5469
Talladega County,Alabama,2020,82,"Talladega County, Alabama",0.4584
Tallapoosa County,Alabama,2020,81,"Tallapoosa County, Alabama",0.4617
Tuscaloosa County,Alabama,2020,47,"Tuscaloosa County, Alabama",0.463
Walker County,Alabama,2020,77,"Walker County, Alabama",0.4587
Washington County,Alabama,2020,83,"Washington County, Alabama",0.4684
Wilcox County,Alabama,2020,98,"Wilcox County, Alabama",0.5108
Winston County,Alabama,2020,83,"Winston County, Alabama",0.4517
Aleutians East Borough,Alaska,2020,74,"Aleutians East Borough, Alaska",0.3987
Aleutians West Census Area,Alaska,2020,48,"Aleutians West Census Area, Alaska",0.3628
Anchorage Municipality,Alaska,2020,6,"Anchorage Municipality, Alaska",0.4251
Bethel Census Area,Alaska,2020,100,"Bethel Census Area, Alaska",0.4446
Bristol Bay Borough,Alaska,2020,20,"Bristol Bay Borough, Alaska",0.3911
Denali Borough,Alaska,2020,13,"Denali Borough, Alaska",0.3631
Dillingham Census Area,Alaska,2020,94,"Dillingham Census Area, Alaska",0.4285
Fairbanks North Star Borough,Alaska,2020,10,"Fairbanks North Star Borough, Alaska",0.4061
Haines Borough,Alaska,2020,10,"Haines Borough, Alaska",0.3796
Hoonah-Angoon Census Area,Alaska,2020,52,"Hoonah-Angoon Census Area, Alaska",0.3914
Juneau City and Borough,Alaska,2020,4,"Juneau City and Borough, Alaska",0.3947
Kenai Peninsula Borough,Alaska,2020,21,"Kenai Peninsula Borough, Alaska",0.4322
Ketchikan Gateway Borough,Alaska,2020,15,"Ketchikan Gateway Borough, Alaska",0.4161
